country,sku,level_2,week_start
Germany,00004-807-019,n_weeks_obs,188
Germany,00004-807-019,span_weeks,201
Germany,00004-807-019,missing_weeks,13
Germany,00004-807-019,longest_gap_weeks,8
Germany,00004-807-019,n_segments,4
Germany,00019-003-003,n_weeks_obs,202
Germany,00019-003-003,span_weeks,202
Germany,00019-003-003,missing_weeks,0
Germany,00019-003-003,longest_gap_weeks,0
Germany,00019-003-003,n_segments,1
Poland,02589-489-000,n_weeks_obs,357
Poland,02589-489-000,span_weeks,358
Poland,02589-489-000,missing_weeks,1
Poland,02589-489-000,longest_gap_weeks,1
Poland,02589-489-000,n_segments,2
Poland,05243-022-000,n_weeks_obs,338
Poland,05243-022-000,span_weeks,358
Poland,05243-022-000,missing_weeks,20
Poland,05243-022-000,longest_gap_weeks,15
Poland,05243-022-000,n_segments,5
Poland,16333-000-000,n_weeks_obs,205
Poland,16333-000-000,span_weeks,214
Poland,16333-000-000,missing_weeks,9
Poland,16333-000-000,longest_gap_weeks,8
Poland,16333-000-000,n_segments,3
Poland,62170-027-000,n_weeks_obs,181
Poland,62170-027-000,span_weeks,181
Poland,62170-027-000,missing_weeks,0
Poland,62170-027-000,longest_gap_weeks,0
Poland,62170-027-000,n_segments,1
Portugal,00012-438-000,n_weeks_obs,118
Portugal,00012-438-000,span_weeks,158
Portugal,00012-438-000,missing_weeks,40
Portugal,00012-438-000,longest_gap_weeks,39
Portugal,00012-438-000,n_segments,3
Portugal,00012-619-000,n_weeks_obs,245
Portugal,00012-619-000,span_weeks,245
Portugal,00012-619-000,missing_weeks,0
Portugal,00012-619-000,longest_gap_weeks,0
Portugal,00012-619-000,n_segments,1
Portugal,00041-097-000,n_weeks_obs,350
Portugal,00041-097-000,span_weeks,358
Portugal,00041-097-000,missing_weeks,8
Portugal,00041-097-000,longest_gap_weeks,3
Portugal,00041-097-000,n_segments,5
Romania,00012-432-000,n_weeks_obs,356
Romania,00012-432-000,span_weeks,357
Romania,00012-432-000,missing_weeks,1
Romania,00012-432-000,longest_gap_weeks,1
Romania,00012-432-000,n_segments,2
Romania,00077-010-000,n_weeks_obs,356
Romania,00077-010-000,span_weeks,357
Romania,00077-010-000,missing_weeks,1
Romania,00077-010-000,longest_gap_weeks,1
Romania,00077-010-000,n_segments,2
Romania,05243-115-000,n_weeks_obs,118
Romania,05243-115-000,span_weeks,118
Romania,05243-115-000,missing_weeks,0
Romania,05243-115-000,longest_gap_weeks,0
Romania,05243-115-000,n_segments,1
Romania,07808-016-000,n_weeks_obs,271
Romania,07808-016-000,span_weeks,331
Romania,07808-016-000,missing_weeks,60
Romania,07808-016-000,longest_gap_weeks,4
Romania,07808-016-000,n_segments,46
Romania,76518-000-000,n_weeks_obs,233
Romania,76518-000-000,span_weeks,357
Romania,76518-000-000,missing_weeks,124
Romania,76518-000-000,longest_gap_weeks,27
Romania,76518-000-000,n_segments,60
Spain,00023-189-000,n_weeks_obs,347
Spain,00023-189-000,span_weeks,358
Spain,00023-189-000,missing_weeks,11
Spain,00023-189-000,longest_gap_weeks,7
Spain,00023-189-000,n_segments,4
Spain,00119-066-000,n_weeks_obs,163
Spain,00119-066-000,span_weeks,209
Spain,00119-066-000,missing_weeks,46
Spain,00119-066-000,longest_gap_weeks,16
Spain,00119-066-000,n_segments,6
Spain,00119-066-001,n_weeks_obs,186
Spain,00119-066-001,span_weeks,186
Spain,00119-066-001,missing_weeks,0
Spain,00119-066-001,longest_gap_weeks,0
Spain,00119-066-001,n_segments,1
Spain,04592-030-000,n_weeks_obs,352
Spain,04592-030-000,span_weeks,358
Spain,04592-030-000,missing_weeks,6
Spain,04592-030-000,longest_gap_weeks,4
Spain,04592-030-000,n_segments,4
Sweden,00011-294-000,n_weeks_obs,356
Sweden,00011-294-000,span_weeks,357
Sweden,00011-294-000,missing_weeks,1
Sweden,00011-294-000,longest_gap_weeks,1
Sweden,00011-294-000,n_segments,2
Sweden,00295-629-000,n_weeks_obs,225
Sweden,00295-629-000,span_weeks,235
Sweden,00295-629-000,missing_weeks,10
Sweden,00295-629-000,longest_gap_weeks,4
Sweden,00295-629-000,n_segments,5
Sweden,00397-117-000,n_weeks_obs,307
Sweden,00397-117-000,span_weeks,357
Sweden,00397-117-000,missing_weeks,50
Sweden,00397-117-000,longest_gap_weeks,44
Sweden,00397-117-000,n_segments,5
Sweden,75-072-000,n_weeks_obs,356
Sweden,75-072-000,span_weeks,357
Sweden,75-072-000,missing_weeks,1
Sweden,75-072-000,longest_gap_weeks,1
Sweden,75-072-000,n_segments,2
