country,dc_id,sku,n_weeks,min_date,max_date,mean_demand,median_demand,ok_for_model
Germany,100,00004-807-019,4,2023-05-22,2025-06-09,1.0,1.0,False
Germany,100,00019-003-003,202,2021-12-27,2025-11-03,1730.980198019802,1744.0,True
Germany,200,00004-807-019,5,2024-09-02,2024-09-30,8268.0,12358.0,False
Germany,200,00019-003-003,201,2022-01-03,2025-11-03,1300.2537313432836,1302.0,True
Germany,300,00004-807-019,7,2023-05-01,2025-10-27,1.1428571428571428,1.0,False
Germany,300,00019-003-003,201,2021-12-27,2025-11-03,1520.910447761194,1521.0,True
Germany,400,00004-807-019,9,2022-01-31,2025-09-29,1.0,1.0,False
Germany,400,00019-003-003,201,2021-12-27,2025-11-03,986.8109452736319,979.0,True
Germany,500,00019-003-003,200,2022-01-03,2025-11-03,662.16,655.0,True
Germany,600,00019-003-003,201,2022-01-03,2025-11-03,1229.4975124378109,1226.0,True
Germany,700,00004-807-019,188,2022-01-03,2025-11-03,6685.617021276596,6749.5,True
Germany,700,00019-003-003,200,2022-01-03,2025-11-03,791.795,796.5,True
Germany,900,00019-003-003,201,2022-01-03,2025-11-03,842.502487562189,841.0,True
Poland,100,02589-489-000,357,2018-12-31,2025-11-03,2672.777932960894,2636.5,True
Poland,100,05243-022-000,332,2018-12-31,2025-11-03,607.6295180722891,596.5,True
Poland,100,16333-000-000,203,2021-10-04,2025-11-03,32.16748768472906,30.0,True
Poland,100,62170-027-000,180,2022-05-30,2025-11-03,19.38888888888889,14.5,True
Poland,200,02589-489-000,357,2018-12-31,2025-11-03,2275.472067039106,2258.0,True
Poland,200,05243-022-000,334,2018-12-31,2025-11-03,502.5684880239521,503.5,True
Poland,200,16333-000-000,185,2021-10-04,2025-11-03,24.57135135135135,23.0,True
Poland,200,62170-027-000,181,2022-05-23,2025-11-03,23.774033149171274,17.0,True
Poland,300,02589-489-000,328,2018-12-31,2025-11-03,550.9696048632219,538.0,True
Poland,300,05243-022-000,303,2018-12-31,2025-11-03,142.0437293729373,138.0,True
Poland,300,16333-000-000,204,2021-10-04,2025-11-03,8.029411764705882,8.0,True
Poland,400,02589-489-000,357,2018-12-31,2025-11-03,2105.7988826815645,2100.0,True
Poland,400,05243-022-000,333,2018-12-31,2025-11-03,443.0011261261261,441.0,True
Poland,400,16333-000-000,203,2021-10-04,2025-11-03,24.47783251231527,22.0,True
Poland,400,62170-027-000,181,2022-05-23,2025-11-03,21.892265193370164,15.0,True
Portugal,500,00012-619-000,356,2018-12-31,2025-11-03,2186.172533519553,2150.0,True
Portugal,500,00041-097-000,340,2018-12-31,2025-11-03,8.586041055718475,7.0,True
Portugal,503,00012-619-000,1,2024-11-25,2024-11-25,1.0,1.0,False
Portugal,600,00012-619-000,17,2022-03-21,2025-10-27,201.7058823529412,20.0,False
Portugal,600,00041-097-000,3,2022-08-15,2023-02-20,4.333333333333333,5.0,False
Portugal,700,00012-619-000,358,2018-12-31,2025-11-03,4261.836225895317,4265.5,True
Portugal,700,00041-097-000,346,2018-12-31,2025-11-03,19.168599423631125,16.0,True
Romania,100,00012-432-000,162,2018-12-31,2022-01-31,531.6273006134969,488.0,True
Romania,100,00077-010-000,162,2018-12-31,2022-01-31,281.8691533742331,193.0,True
Romania,100,07808-016-000,97,2019-07-01,2022-01-31,2.2323232323232323,2.0,True
Romania,200,00012-432-000,194,2022-02-07,2025-10-27,774.5463917525773,724.5,True
Romania,200,00077-010-000,194,2022-02-07,2025-10-27,397.0145979381443,353.0,True
Romania,200,05243-115-000,118,2023-07-31,2025-10-27,168.16668644067798,168.0,True
Romania,200,07808-016-000,163,2022-02-07,2025-10-27,3.460227272727273,2.0,True
Romania,200,76518-000-000,233,2018-12-31,2025-10-27,2.96137339055794,2.0,True
Romania,300,00012-432-000,356,2018-12-31,2025-10-27,168.30280112044818,152.0,True
Romania,300,00077-010-000,356,2018-12-31,2025-10-27,84.84033613445378,74.0,True
Romania,300,05243-115-000,115,2023-08-21,2025-10-27,32.86812173913043,32.0,True
Romania,300,07808-016-000,37,2019-07-29,2022-07-04,1.263157894736842,1.0,False
Spain,100,00023-189-000,347,2018-12-31,2025-11-03,65.93881896551724,63.0,True
Spain,100,00119-066-001,343,2018-12-31,2025-11-03,592.1140749279539,610.0,True
Spain,100,04592-030-000,352,2018-12-31,2025-11-03,525.9773371104816,517.0,True
Spain,110,00023-189-000,1,2022-11-21,2022-11-21,4.0,4.0,False
Spain,110,00119-066-001,1,2022-11-21,2022-11-21,8.0,8.0,False
Spain,110,04592-030-000,1,2022-11-21,2022-11-21,12.0,12.0,False
Spain,200,00023-189-000,345,2018-12-31,2025-11-03,56.68671387283237,53.0,True
Spain,200,00119-066-001,343,2018-12-31,2025-11-03,388.9121037463977,392.0,True
Spain,200,04592-030-000,351,2018-12-31,2025-11-03,430.8948863636364,438.0,True
Spain,300,00023-189-000,345,2018-12-31,2025-11-03,12.39301739130435,12.0,True
Spain,300,00119-066-001,343,2018-12-31,2025-11-03,39.1305726744186,41.0,True
Spain,300,04592-030-000,350,2018-12-31,2025-11-03,54.20285714285714,55.0,True
Spain,400,00023-189-000,346,2018-12-31,2025-11-03,37.133469740634006,36.0,True
Spain,400,00119-066-001,342,2018-12-31,2025-11-03,229.10120579710144,230.0,True
Spain,400,04592-030-000,351,2018-12-31,2025-11-03,301.9261363636364,293.0,True
Spain,500,00023-189-000,341,2018-12-31,2025-11-03,6.631622807017544,7.0,True
Spain,500,00119-066-001,343,2018-12-31,2025-11-03,27.446752906976748,27.5,True
Spain,500,04592-030-000,350,2018-12-31,2025-11-03,41.66951566951567,42.0,True
Spain,700,00023-189-000,344,2018-12-31,2025-11-03,35.944028985507245,34.0,True
Spain,700,00119-066-001,343,2018-12-31,2025-11-03,200.23209169054442,191.0,True
Spain,700,04592-030-000,350,2018-12-31,2025-11-03,327.36324786324786,322.0,True
Sweden,100,00011-294-000,356,2018-12-31,2025-10-27,1837.1792717086835,1764.0,True
Sweden,100,00295-629-000,225,2021-05-03,2025-10-27,155.65777777777777,157.0,True
Sweden,100,00397-117-000,307,2018-12-31,2025-10-27,203.3409090909091,200.5,True
Sweden,100,75-072-000,356,2018-12-31,2025-10-27,1461.1743697478992,1430.0,True
Sweden,200,00011-294-000,356,2018-12-31,2025-10-27,1065.2128851540617,1030.0,True
Sweden,200,00295-629-000,222,2021-05-17,2025-10-27,122.48648648648648,121.0,True
Sweden,200,00397-117-000,306,2018-12-31,2025-10-27,153.0097719869707,149.0,True
Sweden,200,75-072-000,356,2018-12-31,2025-10-27,728.5112016806723,688.0,True
Sweden,300,00011-294-000,320,2018-12-31,2025-02-17,452.93146417445485,440.0,True
Sweden,300,75-072-000,320,2018-12-31,2025-02-17,289.5140186915888,282.0,True
Sweden,400,00011-294-000,37,2025-02-17,2025-10-27,392.8378378378378,370.0,False
Sweden,400,75-072-000,37,2025-02-17,2025-10-27,311.97297297297297,292.0,False
